timestamp,gpu_memory_used_mib
2026-09-20T21:50:10.6519635+08:00,12
2026-09-20T21:50:11.2077165+08:00,12
2026-09-20T21:50:11.7604291+08:00,12
2026-09-20T21:50:12.3217172+08:00,12
2026-09-20T21:50:12.8842515+08:00,12
2026-09-20T21:50:13.4370246+08:00,12
2026-09-20T21:50:13.9913424+08:00,12
2026-09-20T21:50:14.5440261+08:00,12
2026-09-20T21:50:15.1213955+08:00,12
2026-09-20T21:50:15.6848005+08:00,139
2026-09-20T21:50:16.2484491+08:00,139
2026-09-20T21:50:16.8018910+08:00,139
2026-09-20T21:50:17.3642696+08:00,187
2026-09-20T21:50:17.9189159+08:00,269
2026-09-20T21:50:18.4882251+08:00,311
2026-09-20T21:50:19.0361890+08:00,311
2026-09-20T21:50:19.5831847+08:00,311
2026-09-20T21:50:20.1208929+08:00,331
2026-09-20T21:50:20.6866909+08:00,331
2026-09-20T21:50:21.2244458+08:00,331
2026-09-20T21:50:21.7574045+08:00,331
2026-09-20T21:50:22.2984333+08:00,331
2026-09-20T21:50:22.8411235+08:00,331
2026-09-20T21:50:23.3900443+08:00,331
2026-09-20T21:50:23.9447525+08:00,331
2026-09-20T21:50:24.5083004+08:00,331
2026-09-20T21:50:25.0590828+08:00,331
2026-09-20T21:50:25.6238875+08:00,331
2026-09-20T21:50:26.1700704+08:00,331
2026-09-20T21:50:26.7281679+08:00,331
2026-09-20T21:50:27.2801305+08:00,331
2026-09-20T21:50:27.8572742+08:00,331
2026-09-20T21:50:28.4128034+08:00,331
2026-09-20T21:50:28.9489203+08:00,331
2026-09-20T21:50:29.4910707+08:00,331
2026-09-20T21:50:30.0277878+08:00,331
2026-09-20T21:50:30.5751128+08:00,331
2026-09-20T21:50:31.1108182+08:00,331
2026-09-20T21:50:31.6648138+08:00,331
2026-09-20T21:50:32.2413488+08:00,331
2026-09-20T21:50:32.7854264+08:00,331
2026-09-20T21:50:33.3311216+08:00,331
2026-09-20T21:50:33.8735545+08:00,331
2026-09-20T21:50:34.4228580+08:00,331
2026-09-20T21:50:34.9644427+08:00,331
2026-09-20T21:50:35.5259543+08:00,331
2026-09-20T21:50:36.0888872+08:00,331
2026-09-20T21:50:36.6368292+08:00,331
2026-09-20T21:50:37.1952442+08:00,331
2026-09-20T21:50:37.7577692+08:00,331
2026-09-20T21:50:38.3180296+08:00,331
2026-09-20T21:50:38.8636587+08:00,331
2026-09-20T21:50:39.4215718+08:00,331
2026-09-20T21:50:39.9610076+08:00,331
2026-09-20T21:50:40.5079612+08:00,331
2026-09-20T21:50:41.0509829+08:00,331
2026-09-20T21:50:41.5943741+08:00,331
2026-09-20T21:50:42.1556982+08:00,331
2026-09-20T21:50:42.7028647+08:00,331
2026-09-20T21:50:43.2692905+08:00,331
2026-09-20T21:50:43.8205683+08:00,331
2026-09-20T21:50:44.3675169+08:00,331
2026-09-20T21:50:44.9363660+08:00,331
2026-09-20T21:50:45.5155342+08:00,331
2026-09-20T21:50:46.0693177+08:00,331
2026-09-20T21:50:46.6044856+08:00,331
2026-09-20T21:50:47.1416973+08:00,331
2026-09-20T21:50:47.6893159+08:00,331
2026-09-20T21:50:48.2380496+08:00,331
2026-09-20T21:50:48.7885109+08:00,331
2026-09-20T21:50:49.3412569+08:00,331
2026-09-20T21:50:49.8777177+08:00,331
2026-09-20T21:50:50.4129151+08:00,331
2026-09-20T21:50:50.9500018+08:00,331
2026-09-20T21:50:51.4976096+08:00,331
2026-09-20T21:50:52.0431647+08:00,331
2026-09-20T21:50:52.6027309+08:00,331
2026-09-20T21:50:53.1478405+08:00,331
2026-09-20T21:50:53.6977086+08:00,331
2026-09-20T21:50:54.2519787+08:00,331
2026-09-20T21:50:54.7987650+08:00,331
2026-09-20T21:50:55.3586190+08:00,331
2026-09-20T21:50:55.9088092+08:00,331
2026-09-20T21:50:56.4712977+08:00,331
2026-09-20T21:50:57.0285650+08:00,331
2026-09-20T21:50:57.5921489+08:00,331
2026-09-20T21:50:58.1244009+08:00,331
2026-09-20T21:50:58.6732697+08:00,331
2026-09-20T21:50:59.2623920+08:00,331
2026-09-20T21:50:59.7990014+08:00,331
2026-09-20T21:51:00.3629253+08:00,331
2026-09-20T21:51:00.9011374+08:00,331
2026-09-20T21:51:01.4452383+08:00,331
2026-09-20T21:51:01.9821713+08:00,331
2026-09-20T21:51:02.5551296+08:00,331
2026-09-20T21:51:03.1002447+08:00,331
2026-09-20T21:51:03.6681621+08:00,331
2026-09-20T21:51:04.2318182+08:00,331
2026-09-20T21:51:04.7815208+08:00,331
2026-09-20T21:51:05.3168660+08:00,331
2026-09-20T21:51:05.8693431+08:00,331
2026-09-20T21:51:06.4197101+08:00,331
2026-09-20T21:51:06.9591220+08:00,331
2026-09-20T21:51:07.5256292+08:00,331
2026-09-20T21:51:08.0619055+08:00,331
2026-09-20T21:51:08.6130466+08:00,331
2026-09-20T21:51:09.1639877+08:00,331
2026-09-20T21:51:09.7003051+08:00,331
2026-09-20T21:51:10.2380966+08:00,331
2026-09-20T21:51:10.7891809+08:00,331
2026-09-20T21:51:11.3242347+08:00,331
2026-09-20T21:51:11.8884085+08:00,331
2026-09-20T21:51:12.4515441+08:00,331
2026-09-20T21:51:13.0007548+08:00,331
2026-09-20T21:51:13.5533924+08:00,331
2026-09-20T21:51:14.0898115+08:00,331
2026-09-20T21:51:14.6348627+08:00,331
2026-09-20T21:51:15.1968305+08:00,331
2026-09-20T21:51:15.7420619+08:00,331
2026-09-20T21:51:16.2927483+08:00,331
2026-09-20T21:51:16.8491982+08:00,331
2026-09-20T21:51:17.3859666+08:00,331
2026-09-20T21:51:17.9245880+08:00,331
2026-09-20T21:51:18.4605663+08:00,331
2026-09-20T21:51:18.9955858+08:00,331
2026-09-20T21:51:19.5419815+08:00,331
2026-09-20T21:51:20.0882088+08:00,331
2026-09-20T21:51:20.6440093+08:00,331
2026-09-20T21:51:21.1922964+08:00,331
2026-09-20T21:51:21.7385049+08:00,331
2026-09-20T21:51:22.2718310+08:00,331
2026-09-20T21:51:22.8049165+08:00,331
2026-09-20T21:51:23.3386670+08:00,331
2026-09-20T21:51:23.8822874+08:00,331
2026-09-20T21:51:24.4233613+08:00,331
2026-09-20T21:51:24.9669241+08:00,331
2026-09-20T21:51:25.5001566+08:00,331
2026-09-20T21:51:26.0478054+08:00,331
2026-09-20T21:51:26.5844607+08:00,331
2026-09-20T21:51:27.1187162+08:00,331
2026-09-20T21:51:27.6537708+08:00,331
2026-09-20T21:51:28.1925202+08:00,331
2026-09-20T21:51:28.7395909+08:00,331
2026-09-20T21:51:29.2954500+08:00,331
2026-09-20T21:51:29.8430721+08:00,331
2026-09-20T21:51:30.3829015+08:00,331
2026-09-20T21:51:30.9357096+08:00,331
2026-09-20T21:51:31.4688921+08:00,331
2026-09-20T21:51:32.0040525+08:00,331
2026-09-20T21:51:32.5563359+08:00,331
2026-09-20T21:51:33.0907985+08:00,331
2026-09-20T21:51:33.6241866+08:00,331
2026-09-20T21:51:34.1733484+08:00,331
2026-09-20T21:51:34.7273283+08:00,331
2026-09-20T21:51:35.2653794+08:00,331
2026-09-20T21:51:35.8179236+08:00,331
2026-09-20T21:51:36.3683406+08:00,331
2026-09-20T21:51:36.9076211+08:00,331
2026-09-20T21:51:37.4451918+08:00,331
2026-09-20T21:51:37.9806742+08:00,331
2026-09-20T21:51:38.5365862+08:00,331
2026-09-20T21:51:39.0811566+08:00,331
2026-09-20T21:51:39.6339720+08:00,331
2026-09-20T21:51:40.2005308+08:00,331
2026-09-20T21:51:40.7528933+08:00,331
2026-09-20T21:51:41.3083223+08:00,331
2026-09-20T21:51:41.8490610+08:00,331
2026-09-20T21:51:42.4103834+08:00,331
2026-09-20T21:51:42.9520057+08:00,331
2026-09-20T21:51:43.4893163+08:00,331
2026-09-20T21:51:44.0413919+08:00,331
2026-09-20T21:51:44.6055659+08:00,331
2026-09-20T21:51:45.1641747+08:00,331
2026-09-20T21:51:45.7080188+08:00,331
2026-09-20T21:51:46.2696448+08:00,331
2026-09-20T21:51:46.8072481+08:00,331
2026-09-20T21:51:47.3538734+08:00,331
2026-09-20T21:51:47.9152336+08:00,331
2026-09-20T21:51:48.4562674+08:00,331
2026-09-20T21:51:49.0277503+08:00,331
2026-09-20T21:51:49.5901446+08:00,331
2026-09-20T21:51:50.1386465+08:00,331
2026-09-20T21:51:51.0387597+08:00,331
2026-09-20T21:51:51.5730150+08:00,331
2026-09-20T21:51:52.1253650+08:00,331
2026-09-20T21:51:52.7267036+08:00,331
2026-09-20T21:51:53.2713420+08:00,331
2026-09-20T21:51:53.8058820+08:00,331
2026-09-20T21:51:54.3563621+08:00,331
2026-09-20T21:51:54.9041377+08:00,331
2026-09-20T21:51:55.4559871+08:00,331
2026-09-20T21:51:55.9926728+08:00,331
2026-09-20T21:51:56.5399008+08:00,331
2026-09-20T21:51:57.0760297+08:00,331
2026-09-20T21:51:57.6107976+08:00,331
2026-09-20T21:51:58.1458911+08:00,331
2026-09-20T21:51:58.6823432+08:00,331
2026-09-20T21:51:59.2319287+08:00,331
2026-09-20T21:51:59.7652321+08:00,331
2026-09-20T21:52:00.3190792+08:00,331
2026-09-20T21:52:00.8522269+08:00,331
2026-09-20T21:52:01.3881692+08:00,331
2026-09-20T21:52:01.9424082+08:00,331
2026-09-20T21:52:02.4934513+08:00,331
2026-09-20T21:52:03.0417116+08:00,331
2026-09-20T21:52:03.6062168+08:00,331
2026-09-20T21:52:04.1417954+08:00,331
2026-09-20T21:52:04.7038131+08:00,331
2026-09-20T21:52:05.2574096+08:00,331
2026-09-20T21:52:05.7894421+08:00,331
2026-09-20T21:52:06.3232969+08:00,331
2026-09-20T21:52:06.8721254+08:00,331
2026-09-20T21:52:07.4096027+08:00,331
2026-09-20T21:52:07.9416612+08:00,331
2026-09-20T21:52:08.4900449+08:00,331
2026-09-20T21:52:09.0526989+08:00,331
2026-09-20T21:52:09.6003407+08:00,331
2026-09-20T21:52:10.1452064+08:00,331
2026-09-20T21:52:10.7056837+08:00,331
2026-09-20T21:52:11.2694950+08:00,331
2026-09-20T21:52:11.8064685+08:00,331
2026-09-20T21:52:12.3597127+08:00,331
2026-09-20T21:52:12.9125300+08:00,331
2026-09-20T21:52:13.4508672+08:00,331
2026-09-20T21:52:14.0126241+08:00,331
2026-09-20T21:52:14.5615259+08:00,331
2026-09-20T21:52:15.0978604+08:00,331
2026-09-20T21:52:15.6479359+08:00,331
2026-09-20T21:52:16.1968598+08:00,331
2026-09-20T21:52:16.7473510+08:00,331
2026-09-20T21:52:17.2993386+08:00,331
2026-09-20T21:52:17.8508439+08:00,331
2026-09-20T21:52:18.4121017+08:00,331
2026-09-20T21:52:18.9796986+08:00,331
2026-09-20T21:52:19.5595861+08:00,331
2026-09-20T21:52:20.1250852+08:00,331
2026-09-20T21:52:20.6770927+08:00,331
2026-09-20T21:52:21.2129996+08:00,331
2026-09-20T21:52:21.7791000+08:00,331
2026-09-20T21:52:22.3314317+08:00,331
2026-09-20T21:52:22.8822481+08:00,331
2026-09-20T21:52:23.4160798+08:00,331
2026-09-20T21:52:23.9512715+08:00,331
2026-09-20T21:52:24.5010874+08:00,331
2026-09-20T21:52:25.0352956+08:00,331
2026-09-20T21:52:25.5831902+08:00,331
2026-09-20T21:52:26.1361833+08:00,331
2026-09-20T21:52:26.6846193+08:00,331
2026-09-20T21:52:27.2303046+08:00,331
2026-09-20T21:52:27.7891389+08:00,331
2026-09-20T21:52:28.3522423+08:00,331
2026-09-20T21:52:28.8844107+08:00,331
2026-09-20T21:52:29.4504055+08:00,331
2026-09-20T21:52:30.0044729+08:00,331
2026-09-20T21:52:30.5391765+08:00,331
2026-09-20T21:52:31.0884314+08:00,331
2026-09-20T21:52:31.6566240+08:00,331
2026-09-20T21:52:32.2025109+08:00,331
2026-09-20T21:52:32.7436705+08:00,331
2026-09-20T21:52:33.2774221+08:00,331
2026-09-20T21:52:33.8132153+08:00,331
2026-09-20T21:52:34.3745129+08:00,331
2026-09-20T21:52:34.9087100+08:00,331
2026-09-20T21:52:35.4462910+08:00,331
2026-09-20T21:52:35.9811101+08:00,331
2026-09-20T21:52:36.5361408+08:00,331
2026-09-20T21:52:37.0767783+08:00,331
2026-09-20T21:52:37.6271619+08:00,331
2026-09-20T21:52:38.1933174+08:00,331
2026-09-20T21:52:38.7267149+08:00,331
2026-09-20T21:52:39.2791261+08:00,331
2026-09-20T21:52:39.8110706+08:00,331
2026-09-20T21:52:40.3679639+08:00,331
2026-09-20T21:52:40.9212164+08:00,331
2026-09-20T21:52:41.4671283+08:00,331
2026-09-20T21:52:42.0330634+08:00,331
2026-09-20T21:52:42.6020762+08:00,331
2026-09-20T21:52:43.1389227+08:00,331
2026-09-20T21:52:43.6809785+08:00,331
2026-09-20T21:52:44.2313050+08:00,331
2026-09-20T21:52:44.7666556+08:00,331
2026-09-20T21:52:45.2998317+08:00,331
