timestamp,gpu_memory_used_mib
2026-09-18T17:56:16.9118490+08:00,0
2026-09-18T17:56:17.9699428+08:00,0
2026-09-18T17:56:19.0096030+08:00,0
2026-09-18T17:56:19.6418403+08:00,0
2026-09-18T17:56:20.1928849+08:00,0
2026-09-18T17:56:20.7503130+08:00,0
2026-09-18T17:56:21.3059549+08:00,0
2026-09-18T17:56:21.8596251+08:00,12
2026-09-18T17:56:22.7443997+08:00,128
2026-09-18T17:56:23.7828915+08:00,134
2026-09-18T17:56:24.4134823+08:00,196
2026-09-18T17:56:24.9827558+08:00,198
2026-09-18T17:56:25.7502519+08:00,200
2026-09-18T17:56:26.3646884+08:00,200
2026-09-18T17:56:26.9193235+08:00,200
