timestamp,gpu_memory_used_mib
2026-09-21T13:59:10.2029190+08:00,55
2026-09-21T13:59:10.7795290+08:00,55
2026-09-21T13:59:11.3431510+08:00,55
2026-09-21T13:59:11.8943065+08:00,55
2026-09-21T13:59:12.4467928+08:00,55
2026-09-21T13:59:13.0106474+08:00,55
2026-09-21T13:59:13.5742426+08:00,55
2026-09-21T13:59:14.1390641+08:00,55
2026-09-21T13:59:14.7020777+08:00,55
2026-09-21T13:59:15.2649118+08:00,176
2026-09-21T13:59:15.8243457+08:00,182
2026-09-21T13:59:16.3879238+08:00,182
2026-09-21T13:59:16.9687916+08:00,188
2026-09-21T13:59:17.5379210+08:00,230
2026-09-21T13:59:18.1173955+08:00,312
2026-09-21T13:59:18.6846755+08:00,354
2026-09-21T13:59:19.2496266+08:00,354
2026-09-21T13:59:19.7994084+08:00,374
2026-09-21T13:59:20.3479526+08:00,374
2026-09-21T13:59:20.9119842+08:00,374
2026-09-21T13:59:21.4559286+08:00,374
2026-09-21T13:59:22.0163095+08:00,374
2026-09-21T13:59:22.5657676+08:00,374
2026-09-21T13:59:23.1301072+08:00,374
2026-09-21T13:59:23.6747498+08:00,374
2026-09-21T13:59:24.2246383+08:00,374
2026-09-21T13:59:24.7586925+08:00,374
2026-09-21T13:59:25.3097459+08:00,374
2026-09-21T13:59:25.8906802+08:00,374
2026-09-21T13:59:26.4259228+08:00,374
2026-09-21T13:59:26.9880873+08:00,374
2026-09-21T13:59:27.5212250+08:00,374
2026-09-21T13:59:28.0857092+08:00,374
2026-09-21T13:59:28.6377036+08:00,374
2026-09-21T13:59:29.1908063+08:00,374
2026-09-21T13:59:29.7529706+08:00,374
2026-09-21T13:59:30.3038603+08:00,374
2026-09-21T13:59:30.8374662+08:00,374
2026-09-21T13:59:31.3867953+08:00,374
2026-09-21T13:59:31.9318556+08:00,374
2026-09-21T13:59:32.4838509+08:00,374
2026-09-21T13:59:33.0458818+08:00,374
2026-09-21T13:59:33.5826274+08:00,374
2026-09-21T13:59:34.1326329+08:00,374
2026-09-21T13:59:34.6739661+08:00,374
2026-09-21T13:59:35.2236658+08:00,374
